,District,Soil_Type,pH_Level,Organic_Matter(%),Nitrogen_Content(kg/ha),Phosphorus_Content(kg/ha),Potassium_Content(kg/ha)
7,Alwar,Clay,7.723436250401349,1.8287253995711172,30.85231885498285,15.186337173576938,38.966943601519766
13,Alwar,Black lava soil,7.660796605669619,2.8774665358236207,30.09200815391719,21.126320586237743,43.4636137755843
29,Alwar,Saline,7.735022093684101,1.646187052588987,26.43913067911978,19.446673157213358,35.51678886342396
32,Alwar,Clay,7.19674830589213,2.2279520975853515,27.70454844890504,16.526998154184277,34.22818665883508
53,Alwar,Black lava soil,8.470608718231874,1.5608384614101305,28.10996050490892,21.157229612627862,43.23244768862885
61,Alwar,Sandy,8.030685482436567,2.2660030994109714,31.808305306235084,28.80594062433687,39.99843163694113
64,Alwar,Black lava soil,7.598065729511954,1.547965855132,22.255197374732624,21.289879906105902,45.51938671658129
83,Alwar,Clay,7.426487288284575,2.4203672410647745,31.039012536766567,13.536873264238686,37.339157184364055
88,Alwar,Black lava soil,7.572760598884121,1.692938717495842,30.7049134980603,27.943134640217977,43.477012372751496
102,Alwar,Alkaline,8.110410649406523,1.5616131093940775,38.56020142008946,11.261817450858691,42.17385032278445
111,Alwar,Nitrogenous,7.483859694475265,2.3202714675373866,30.615391008280906,19.434359737421296,33.50391818277088
113,Alwar,Saline,7.52583048842554,2.1145373441028514,35.371590063577806,21.121698283890414,44.52008777380657
123,Alwar,Nitrogenous,7.867318772729665,1.5070980956660869,28.579224510356013,25.97381430938469,44.47323593786936
124,Alwar,Clay,6.813570274259468,2.175739950176101,20.10887375312595,20.234674510301847,49.48883508372988
128,Alwar,Sandy,7.251533987441011,1.908715512810229,25.05021103723993,19.82496194996882,35.94499568185577
129,Alwar,Nitrogenous,6.9429767749190034,2.129330573927694,31.063698879288303,23.914368674742864,37.84437215212451
142,Alwar,Sandy,6.782045238065736,1.3420920917862464,31.405046251409036,9.337021869225818,45.06318704822036
166,Alwar,Alkaline,7.398737886467585,1.7358514766685105,35.18043825523128,12.885125373691634,35.149378698101785
168,Alwar,Sandy,7.192838427951853,1.6451055038832323,34.89444779278389,13.141284353682472,48.04390427867187
195,Alwar,Clay,7.595788698097045,2.253120494652963,37.23652849695903,22.840516025643232,34.751722505450296
215,Alwar,Sandy,7.556570228526511,1.8184416694222167,19.96271569627495,18.058265308494207,38.47190444465844
247,Alwar,Saline,6.91027016774611,2.717543699611117,28.263488555210785,27.266377380212724,39.60884670470741
251,Alwar,Loamy,8.017721708208473,1.5819689239499877,37.122479106234735,19.54146987927437,35.561152442307296
253,Alwar,Alkaline,7.746780102167146,2.145448528795003,20.022341097741307,14.39378129952804,44.64704992395408
258,Alwar,Sandy,7.754304186616721,1.7848453400226787,22.579716675378325,18.95765894729796,46.03304077431957
263,Alwar,Loamy,8.002962255898208,1.4362519505234808,35.63954496626785,20.772468327976256,38.31723705060913
267,Alwar,Nitrogenous,7.177213963982302,1.1694582922164138,32.516260323747524,9.682984237602728,38.41324753878733
270,Alwar,Black lava soil,6.481889748572032,2.023746734125821,28.7546407767348,11.635530493442127,42.02106432638666
278,Alwar,Nitrogenous,7.757441798038186,2.409962626317617,31.621701050074343,17.33637250891548,44.198319322155946
281,Alwar,Chalky (Calcareous),7.923441051942457,1.9423878837239013,28.075285557949595,22.70454259280495,44.380845835956166
294,Alwar,Sandy,7.661592741229103,2.6419084299267808,36.47492792408478,22.721101761701732,44.22901436281464
