,District,Soil_Type,pH_Level,Organic_Matter(%),Nitrogen_Content(kg/ha),Phosphorus_Content(kg/ha),Potassium_Content(kg/ha)
1,Bhilwara,Nitrogenous,6.832259215450055,2.2430181447088184,22.26348005530817,25.413455269435367,37.64437674091061
8,Bhilwara,Nitrogenous,7.805108084794611,2.078486480484217,27.067343652180323,21.121082021453965,43.57304895318309
17,Bhilwara,Black lava soil,7.654999491582777,1.971705755550052,36.09485394896832,10.244490679806876,40.7179396825258
22,Bhilwara,Nitrogenous,6.919108078043818,1.8584305516281163,28.495701264295867,13.952615322905974,41.94489364676092
31,Bhilwara,Saline,6.684362092269527,1.3812866808887136,30.54704235916485,26.64320414124116,41.5659223693249
71,Bhilwara,Nitrogenous,7.417184294841184,2.039288514859575,19.35632952792594,22.29084057394349,35.10139387641597
87,Bhilwara,Loamy,7.944518561139946,2.2868722105022066,23.61847791730832,13.558461912682311,41.46357741070927
96,Bhilwara,Nitrogenous,7.34890970650869,0.6984314560863507,28.193447190163543,19.679079193555904,34.947008900355435
114,Bhilwara,Black lava soil,7.351258899563075,2.6559918692869733,31.603928629663415,20.97025971802937,33.64969455643984
119,Bhilwara,Chalky (Calcareous),8.073220435200364,1.5133105809864826,35.0356666823658,21.680724815131143,38.86261870023296
160,Bhilwara,Saline,6.805728723084394,1.199864447748145,23.913586538897604,20.797312534020644,35.53606242254058
191,Bhilwara,Alkaline,7.1943073763056855,1.953527896693206,28.80249038989125,25.584168877649773,40.93208084872023
198,Bhilwara,Alkaline,6.655408481016369,1.76436812964874,20.12256114391431,23.75549727253655,29.6745847687184
199,Bhilwara,Loamy,7.514228790591579,0.9610940900719016,28.39851097731679,28.21689077902267,41.803239457178975
200,Bhilwara,Clay,7.068253197517533,1.984398255530458,30.09008436022223,22.36315172921703,33.16570818359587
213,Bhilwara,Nitrogenous,7.183559862557604,2.094664153646187,31.48622136690062,14.053837674614352,45.26992885591438
226,Bhilwara,Black lava soil,7.378469400559567,2.001143968071752,35.35182580114965,26.359462109693283,39.44593719860456
231,Bhilwara,Clay,7.391434462526899,2.2632683418361537,27.612946469036,16.75086557251282,40.42084115092848
236,Bhilwara,Nitrogenous,7.639174317322335,1.745393318700433,25.768201400565136,17.07546173291115,37.606207142391554
245,Bhilwara,Chalky (Calcareous),7.759951069764376,2.9344089202719266,32.09852804178633,21.382907527955243,40.04278040412175
248,Bhilwara,Sandy,6.579051113521071,2.44603379986586,27.05053841122196,23.493444067585216,40.12605433770041
256,Bhilwara,Alkaline,8.546598966104973,1.2440582902183932,35.79690521650261,24.86550780507536,36.1045363031165
280,Bhilwara,Saline,7.743652618522497,2.5359649326058986,25.60358608794006,21.742975599304906,39.37412785808418
301,Bhilwara,Sandy,7.689702698802555,2.345236343060757,31.32808496586267,23.28881588075187,39.65233856878865
312,Bhilwara,Clay,6.964904218552834,2.8595203064209107,25.51833670703969,21.09651168600218,43.95929655194034
344,Bhilwara,Saline,8.003578600298335,2.258997388195726,30.13102376387018,18.482178373670425,39.59541331168656
378,Bhilwara,Chalky (Calcareous),7.088961994086036,1.390357766738903,27.15275112753945,19.379893063050016,34.67889996591325
384,Bhilwara,Saline,8.331866416071737,2.1526215632656767,32.93695849903006,27.070936441655448,42.23696968534488
385,Bhilwara,Alkaline,7.249382946104894,1.7757285817360693,31.19277476886869,13.547192890268906,39.28370542317904
386,Bhilwara,Alkaline,8.048273559115128,0.9043730744173596,37.672410508972575,25.6118710935158,37.701176920847615
