,District,Soil_Type,pH_Level,Organic_Matter(%),Nitrogen_Content(kg/ha),Phosphorus_Content(kg/ha),Potassium_Content(kg/ha)
6,Hanumangarh,Sandy,6.255836323293505,1.6708757938330758,32.26754356277234,15.088529828726603,40.29492110794799
20,Hanumangarh,Clay,7.146553716006325,2.4277778295103563,38.2474044716196,25.35305279989593,36.35198765096296
23,Hanumangarh,Black lava soil,7.625736804470256,1.9028654340107405,26.221042499208185,25.243535632082818,48.27703556544148
37,Hanumangarh,Nitrogenous,8.16528745201952,1.4016056767868443,34.46848844694556,24.464769350543847,49.14810100858044
40,Hanumangarh,Chalky (Calcareous),7.592587768414957,2.212722432092086,31.11144927900427,26.394329066566968,35.23841809630601
49,Hanumangarh,Nitrogenous,7.885960077418337,2.220653575849623,26.334219014450017,21.1449819622967,30.710492743008565
85,Hanumangarh,Black lava soil,8.031970493780427,2.126284422998312,36.92266023796953,22.22099163645336,45.50661478867881
91,Hanumangarh,Black lava soil,8.526486012250832,2.544384827108336,28.11849637537502,20.094095248702992,34.14172826341219
138,Hanumangarh,Clay,7.766679622352725,2.4197342522592025,36.09097355877128,25.286841526891124,44.36098500036489
145,Hanumangarh,Nitrogenous,7.791368791586932,2.2484367952537987,35.348857274919254,14.00151235817346,28.419280685155616
172,Hanumangarh,Black lava soil,7.274025314044061,1.6053307471401628,29.964775072597227,18.92195210715989,38.14071058860667
185,Hanumangarh,Clay,7.331806527294431,2.480152398140735,32.31241812033427,14.103154391836911,40.86127193205519
190,Hanumangarh,Black lava soil,7.757647160812233,1.5828590949826875,40.920483666902285,22.85253604177258,37.09675848723025
193,Hanumangarh,Alkaline,7.681557813872262,2.1555549955715976,20.55175353951924,30.0763755523032,46.45322230461274
202,Hanumangarh,Chalky (Calcareous),7.511315426338434,1.2972184730718568,25.075034370914924,20.993400047737037,39.604663290677216
210,Hanumangarh,Nitrogenous,7.130971458169304,2.0906255813010253,32.30135812491152,20.97421170135069,34.90152340145572
212,Hanumangarh,Alkaline,7.874950119711856,2.139633919108263,25.24544635156384,21.592605023994373,35.041516682798445
214,Hanumangarh,Saline,7.786003139150236,1.6476357821945582,22.312076017754123,19.275477104592845,37.7702814306942
218,Hanumangarh,Loamy,6.950689787411094,2.710252143635532,29.432596770589296,21.107792368121054,46.17375957022398
