,District,Soil_Type,pH_Level,Organic_Matter(%),Nitrogen_Content(kg/ha),Phosphorus_Content(kg/ha),Potassium_Content(kg/ha)
0,Jaipur,Chalky (Calcareous),6.546096221061305,1.5698074946102492,27.931972332891775,29.43843828670095,42.78276562266879
3,Jaipur,Clay,8.019189425509659,1.240326962261579,15.839222009447155,17.744205707955008,42.758703999554605
4,Jaipur,Sandy,8.100130874869414,1.7684193189573003,27.942866964419988,25.76950367127873,30.6512915015229
44,Jaipur,Alkaline,6.974929630198927,2.3787475746687425,36.85268071998357,23.47601450042,41.41875511830751
68,Jaipur,Nitrogenous,7.853039456907566,1.8786593615939835,24.86815396167054,26.150002863595752,35.176472871246425
79,Jaipur,Loamy,6.807006028800501,2.2527946209179373,37.44556554164145,31.35724872711398,37.978012884080194
103,Jaipur,Saline,7.737715341263311,1.6022214660295588,32.12196968930506,26.397593348800797,28.91590580322968
120,Jaipur,Nitrogenous,7.088032256514,1.640445274275407,40.24906047892963,20.003414094787413,43.910650007657296
133,Jaipur,Nitrogenous,6.871065922045556,2.3656901262874963,32.95211030625732,19.28926731529727,41.69343658960845
135,Jaipur,Alkaline,7.536437049007758,2.036598495500847,29.2487850560087,25.958537485535324,39.58141020075394
139,Jaipur,Saline,7.342456634402946,1.7141269790219693,31.663037551620988,24.665640361705343,38.886396496116966
144,Jaipur,Clay,7.997790757001015,2.851586304959019,21.80985471281992,11.068122673226569,36.889825972228095
187,Jaipur,Alkaline,7.694156002711725,2.6247524503530792,23.33611301260175,18.25280336391522,36.1371562562188
196,Jaipur,Loamy,8.181281426356225,2.820307281744144,45.760283672560426,14.38252983380201,41.21441006575137
211,Jaipur,Black lava soil,7.603180885662725,2.731097969358818,32.24317882257264,24.809935945359207,38.81494014993686
217,Jaipur,Black lava soil,7.387840514560947,2.429792436171778,30.399007420293664,25.697777680127345,38.063190177235946
225,Jaipur,Black lava soil,6.952240305577218,1.559622955198635,38.99362509175656,16.323994826183768,48.28104126028648
233,Jaipur,Black lava soil,7.8969092335719075,1.8513119603784467,28.76808298742726,24.931882529529688,36.44013386370538
237,Jaipur,Loamy,7.679737898773562,3.1745378933503785,26.4197828186208,17.91687347192269,39.68438493444376
238,Jaipur,Nitrogenous,7.6978994243548735,2.1317754059773923,36.420478969740586,7.868039647323959,28.06535064902164
241,Jaipur,Loamy,7.1868423619084965,2.24703195948776,15.726866685478043,15.715740674361005,34.369730195444745
264,Jaipur,Alkaline,7.490063182315844,1.9463676170945288,36.101414482088586,14.616604362644932,36.18740380426701
292,Jaipur,Clay,8.094298411543503,2.9246810706931905,34.2155266616162,25.814192887674928,37.09991833673158
303,Jaipur,Clay,7.043594540351744,1.791284809005284,31.720269607817333,21.741708696230635,35.51084966787185
308,Jaipur,Alkaline,6.979903140092051,2.9725975371384665,20.89456965352752,17.011661583725715,41.85105944970871
309,Jaipur,Sandy,7.7921570832176545,1.9497621397141476,29.713046484992287,22.052750426638084,38.8446526127116
310,Jaipur,Loamy,8.196590628967453,2.419674557115801,34.36412175502817,15.169216383147916,39.60305787797149
326,Jaipur,Chalky (Calcareous),6.72753132666162,1.7303474927683649,31.931913269240304,24.188821107732945,36.60384673403522
332,Jaipur,Alkaline,8.240980384218268,1.858390980527384,27.17211816063005,17.64342139424441,43.59208711735821
342,Jaipur,Sandy,7.195824617660331,2.2962651536588807,32.04818059341997,21.78486379633463,40.406392110281
350,Jaipur,Alkaline,8.051966773350953,1.8718595878742137,28.82041735343938,17.965573777478127,37.32621664577839
359,Jaipur,Chalky (Calcareous),6.867996916026318,2.2430923957809696,20.253141223387885,9.748212713579,43.69590247350784
363,Jaipur,Chalky (Calcareous),7.376123790880145,2.660207004891917,25.62782175830041,23.138031487809155,38.60246268351733
365,Jaipur,Loamy,7.620620124203365,2.042252572846431,33.989972748061184,24.61754308023684,34.746883390860994
372,Jaipur,Loamy,7.262102277997549,1.586944004142729,26.56492950150251,13.247220178285083,39.62064274657488
375,Jaipur,Saline,6.992760136646293,1.3299639644380326,32.161083453796266,16.59309882465213,44.83913012012602
