,District,Soil_Type,pH_Level,Organic_Matter(%),Nitrogen_Content(kg/ha),Phosphorus_Content(kg/ha),Potassium_Content(kg/ha)
2,Jodhpur,Sandy,7.453181905630415,2.662898323771095,23.56418215707875,13.014409074435044,37.08200336826997
5,Jodhpur,Chalky (Calcareous),7.305739612408495,2.095211944962529,32.24609360642517,17.450966534045588,40.17220505852921
16,Jodhpur,Sandy,8.100265829236935,2.0701799349240235,20.16465148206424,14.414067691464988,39.07077123903626
36,Jodhpur,Clay,7.9892110560140175,2.261071272966968,24.481650857348157,18.346053878362213,36.099004354412685
39,Jodhpur,Nitrogenous,6.559994983046118,2.356356014430665,20.58424895970708,18.138404735310385,42.18656593519481
43,Jodhpur,Black lava soil,8.39089945438553,1.171688396161113,27.377759318686746,16.32348269659024,43.60739661878672
48,Jodhpur,Alkaline,7.506249660953626,3.434201527833384,21.65700370560902,25.2936426494194,39.13599131301768
50,Jodhpur,Loamy,7.801623750285697,2.1490792329952626,33.19330084321551,25.290591625435752,41.83809920104856
57,Jodhpur,Saline,8.2517099142145,1.834939953016775,28.94166509034412,16.86133046957747,38.55980563038962
59,Jodhpur,Loamy,6.962343803475381,2.8381965136041014,25.272465600286345,14.233247447020204,45.68657271182364
67,Jodhpur,Black lava soil,6.828936125757442,1.3170879222922809,29.255153451163515,22.51392213447597,48.98180411463482
89,Jodhpur,Clay,6.929495745123631,1.944245586428528,25.9751675957372,18.061500417957195,37.93192167185179
92,Jodhpur,Alkaline,8.347861438905433,2.948644347386556,30.783468641232623,25.117653220926723,40.87643389466962
106,Jodhpur,Loamy,8.248715841589814,2.928851171768866,29.48284387854858,13.804736487366789,50.4792175090458
110,Jodhpur,Chalky (Calcareous),7.234272724320393,1.216070287317272,31.7335498880246,32.55778275792212,30.79961127747124
117,Jodhpur,Saline,6.853246187397952,1.652152561401468,25.409365082917127,26.197920032207808,38.0188516094912
118,Jodhpur,Saline,8.034189666847007,2.302060444794259,41.51819376052394,12.60277888430138,46.296166198934
126,Jodhpur,Loamy,7.798220568790876,1.6828570761552983,28.820150063945142,23.720928551575174,42.10773041768281
127,Jodhpur,Alkaline,7.633409198147701,1.8304388603649808,31.850305576344777,19.381336599501218,42.289028049628925
130,Jodhpur,Saline,7.7040264234183775,2.275398786136832,32.223869039157975,15.87173158598929,40.74681741135594
140,Jodhpur,Clay,8.032585982857194,2.7263083727430897,25.418395404632903,15.8153964810186,39.29812470547332
149,Jodhpur,Sandy,7.409248418932166,0.9114674767785726,30.892383319426948,27.14428853906784,32.62933933978947
157,Jodhpur,Clay,7.224724034145757,2.1581791607680723,25.573756569378887,20.905313713855413,46.51639018658032
163,Jodhpur,Clay,6.603446773732712,1.808591405193516,29.381355268625818,18.01160153192698,34.0798472088872
170,Jodhpur,Clay,7.237668796466599,2.2468274238215757,36.48031530890698,14.464215915987742,38.17247031507367
171,Jodhpur,Saline,7.424350389883739,1.3021053989037574,32.956746208792,16.380048341286955,39.02304824411488
173,Jodhpur,Loamy,7.135769189159829,2.159762335391478,38.26808634246142,20.699436164195635,44.98059107455565
174,Jodhpur,Loamy,6.804889037423269,2.0788807196468846,24.513158405144665,12.615375362340494,36.30314296270482
178,Jodhpur,Black lava soil,7.846428792118719,2.2912856594044024,26.00029746649033,10.459989314383462,38.034736214693
180,Jodhpur,Saline,7.22194062661961,1.93496985322319,38.34534762913165,15.287209971040618,48.07389395354926
183,Jodhpur,Loamy,7.454077617832523,1.9562823356114092,32.74159813777249,24.747972856822443,39.70292409363753
206,Jodhpur,Saline,7.931111755943489,1.2918864721036774,24.24423131723565,5.804606702572865,35.95309589458623
209,Jodhpur,Clay,7.292449855518315,2.350350306060292,44.07327222236276,19.47828603506554,41.96653525002662
228,Jodhpur,Loamy,7.809443149011577,2.8191798661354706,31.906548061323925,21.55826428002389,32.40544587454966
244,Jodhpur,Black lava soil,6.304021897843488,2.42238718789085,29.97219853175965,25.892563448992117,33.13298555515125
246,Jodhpur,Alkaline,6.714559271437044,2.677786467855174,26.94571180097467,22.522416281915085,32.18482846714373
255,Jodhpur,Nitrogenous,7.4493596406492335,1.7007812097094763,25.167060545073426,19.659382874160237,41.81985315426369
260,Jodhpur,Chalky (Calcareous),7.288200709135912,1.3171912979049254,25.12939076891816,23.517139583936544,33.46315108884518
272,Jodhpur,Sandy,7.653701784859843,1.5876938747826197,31.383003827555903,25.977403254127395,37.01685470694135
285,Jodhpur,Clay,6.933607524366128,2.175185108193169,25.778379814084644,20.51242321079104,37.585862045965406
288,Jodhpur,Alkaline,6.821532215150213,2.1115765273738485,32.75942985911077,23.401151042088145,30.316236487487675
296,Jodhpur,Sandy,6.902738530116983,2.1429016433973667,25.77423020786921,22.76694491537213,39.83037387036045
304,Jodhpur,Clay,7.256147313525628,2.537166502385122,32.482000588669706,30.375325196742708,45.90064086870764
318,Jodhpur,Sandy,7.193206197318602,2.09812047033336,32.72893356766178,9.142142976197762,39.959433991941246
324,Jodhpur,Saline,7.273181806204159,2.863113272817816,25.563352705721144,23.858980886178305,41.78126394353042
328,Jodhpur,Saline,7.906990430098871,2.0643087252024834,28.87171809643874,26.94512181481381,43.18662341511536
337,Jodhpur,Black lava soil,7.832684467516415,1.6019315984067524,25.249682512669363,12.781978689151176,37.58545080269741
338,Jodhpur,Nitrogenous,7.458642488051753,2.1215458638303493,34.75653122149742,22.634489618328967,39.0456389022341
393,Jodhpur,Alkaline,7.382144377571666,1.5302683790070086,35.59622458782048,18.52772121205983,47.26377772563092
394,Jodhpur,Black lava soil,8.264373925270455,1.959477017639128,24.95775633726325,9.570510611333312,32.63981463486604
403,Jodhpur,Clay,7.244118221028848,0.9476252471404928,40.210889552673656,20.776624995997008,41.99073632561269
