,District,Soil_Type,pH_Level,Organic_Matter(%),Nitrogen_Content(kg/ha),Phosphorus_Content(kg/ha),Potassium_Content(kg/ha)
14,Nagaur,Sandy,6.8653347517266505,2.851257329064803,31.01164398211401,28.159284495445544,36.334835022380055
19,Nagaur,Saline,8.139732465828876,2.520862332029425,32.91772151505944,19.3524137656828,42.89928642647566
33,Nagaur,Chalky (Calcareous),6.62408559662414,1.8050381467202772,30.79026744960066,19.51688164992555,37.920165360263205
63,Nagaur,Chalky (Calcareous),7.708223019050727,1.9730475754971304,25.088482098113428,25.609289281152357,51.6002036100863
74,Nagaur,Loamy,7.4612782696370035,1.4023531182003777,37.25463774139606,29.035983218189426,31.58670652938657
107,Nagaur,Black lava soil,8.297221195874599,2.3394734938811164,25.9379882553129,19.754853295809816,39.19819959477584
122,Nagaur,Alkaline,7.517013705536116,2.0556863009200264,29.10453357491922,21.979098905479617,43.46427877908906
125,Nagaur,Alkaline,7.026053641365507,1.582838477254209,33.8201489078643,12.28599242395177,36.83622485057481
136,Nagaur,Chalky (Calcareous),6.940226935808416,1.803235072015136,30.893473584052376,26.14607392148525,43.015473424744165
148,Nagaur,Chalky (Calcareous),7.142659661504784,2.2606399525069074,31.6083927068825,20.8402990298341,35.0242575907331
154,Nagaur,Loamy,8.00091242684097,1.7512145808073964,26.08998253744481,16.201484412598564,31.144657234559546
156,Nagaur,Black lava soil,7.424839769864064,1.836651893406818,24.78711152664712,14.1388312328168,42.32184931773287
165,Nagaur,Alkaline,8.085858957358079,1.4119133317226096,32.4378014854336,25.90945546479981,42.40454046374448
169,Nagaur,Chalky (Calcareous),7.914114845092311,2.545430835301849,27.68530243987371,19.25029640460445,32.83424092737644
182,Nagaur,Nitrogenous,6.792366404037907,2.109267021205473,35.04735894297984,15.775292807032518,32.504920197708
184,Nagaur,Clay,8.427751657397131,2.112117372267646,28.267867469965505,11.94216320448586,38.686702398419165
186,Nagaur,Saline,7.835765585864527,2.7640156796939164,34.4375198370703,23.80423327155739,40.300429973075815
216,Nagaur,Chalky (Calcareous),7.816830512387029,1.6509001626944753,38.39337336686283,10.441797246741215,46.55583748901312
