,District,Soil_Type,pH_Level,Organic_Matter(%),Nitrogen_Content(kg/ha),Phosphorus_Content(kg/ha),Potassium_Content(kg/ha)
46,Sri Ganganagar,Chalky (Calcareous),7.2910452271170545,0.9870960634443116,24.645737906577807,29.557095435698617,33.597722144987664
47,Sri Ganganagar,Nitrogenous,7.59473991061054,2.5037219865975997,23.725386659988537,20.923552373905416,44.68957768755328
55,Sri Ganganagar,Saline,8.177721400552748,2.585099354598302,30.671482486238965,20.39798931188018,42.77028885557954
56,Sri Ganganagar,Saline,7.069148464871871,2.015015739582041,19.2380822769541,24.38227822751468,32.1925338877907
62,Sri Ganganagar,Sandy,6.909062937289599,2.224736956416153,40.43023524768557,14.92620253407074,38.19268616653007
70,Sri Ganganagar,Chalky (Calcareous),7.240301814086937,1.82954606132696,32.14158346187619,20.385782481088583,37.03094295965647
75,Sri Ganganagar,Saline,6.98798570455681,1.860094828811497,25.177311025449043,22.529827767279325,36.35863898796693
76,Sri Ganganagar,Nitrogenous,8.582528033903301,2.595274297171798,31.062870153161075,25.13493131659866,45.52950212178654
78,Sri Ganganagar,Black lava soil,6.711501758904501,1.5985877780245787,29.63013568202811,19.62167197837085,49.86271088394904
90,Sri Ganganagar,Chalky (Calcareous),7.261177208697997,1.3724323140133026,29.36172659240905,17.19696181576345,25.352756549988666
94,Sri Ganganagar,Nitrogenous,7.454300221245442,1.9595607510672692,30.261292452487417,14.696974668016995,36.41491925436032
97,Sri Ganganagar,Alkaline,7.242390803095879,2.765097599431676,33.324635811508706,15.3771794281095,32.01200415202284
112,Sri Ganganagar,Alkaline,7.616393371470082,1.6216180114920369,19.050391475107237,25.972961102568654,44.791929099210215
115,Sri Ganganagar,Nitrogenous,7.643477927150855,1.5840225412527744,26.808586367357528,15.923121858419394,34.66882534050387
121,Sri Ganganagar,Saline,7.104550309166223,1.6100735268891806,35.409924046249714,13.25211894224234,37.92393116047364
152,Sri Ganganagar,Chalky (Calcareous),7.661041155383493,1.994453998025699,25.93492813869935,24.116399578388528,41.12880761555877
155,Sri Ganganagar,Alkaline,7.735771190209103,1.084427560830825,23.857780843671183,9.622059954607334,39.569651536045534
158,Sri Ganganagar,Black lava soil,7.793082900196391,1.79379309089176,31.28599485177964,18.796674127348936,40.03940092347364
161,Sri Ganganagar,Black lava soil,7.756807232115548,2.017356874376281,20.15747893280973,23.274877921108448,44.05399322795855
177,Sri Ganganagar,Sandy,7.768145454758595,0.9019360894500268,29.189380122600703,20.71524384939476,44.248059942581065
192,Sri Ganganagar,Sandy,7.134184130545736,2.945220342577892,30.246541657601117,23.844198379844485,36.958867462776205
201,Sri Ganganagar,Black lava soil,7.796283636923666,0.6478041841986124,26.850577238180943,17.558630787742278,43.166634130356194
203,Sri Ganganagar,Saline,7.210437945182127,1.7595831052440103,33.48083998579644,17.411537135653926,39.55954377985464
204,Sri Ganganagar,Black lava soil,8.584968294040271,1.2881586815580386,20.740786342126707,23.917948323993038,36.60678469352949
230,Sri Ganganagar,Clay,7.469798135401546,2.563890125316949,30.43055434129489,16.265383574649164,44.95083119479644
232,Sri Ganganagar,Chalky (Calcareous),7.506414321771842,2.2399135176834166,28.656771233451288,10.818201081148011,37.83613058205805
252,Sri Ganganagar,Loamy,7.998816038460122,1.856602882130865,33.79757443743054,18.541206838707318,39.70086928235048
261,Sri Ganganagar,Sandy,6.701063932752581,1.6849875102330527,33.659777512549226,19.01539096001555,37.67709460942191
266,Sri Ganganagar,Saline,7.840681163287653,1.4231538593300708,33.773666490339046,20.997119929933834,42.365191410801074
279,Sri Ganganagar,Clay,6.821241230079033,1.5496643087437598,25.178999642883777,25.40028029569655,44.713942570700375
315,Sri Ganganagar,Nitrogenous,7.389231701208131,1.411518943615016,39.10271953970908,17.168027043926383,44.158083930902016
317,Sri Ganganagar,Saline,8.096556472925514,2.510757696390932,34.59457427329165,17.701716138635014,34.60078776109256
330,Sri Ganganagar,Nitrogenous,7.375692073116661,2.3133068186315358,30.227819405709493,23.11703569139958,43.51720066569448
355,Sri Ganganagar,Chalky (Calcareous),7.891314913158259,1.987883583065154,36.01225623991536,14.523647405785976,24.11648093402
356,Sri Ganganagar,Clay,7.639541929172593,2.1457818383409863,21.546641861967743,15.107502270666968,53.77608871859951
360,Sri Ganganagar,Sandy,7.753510136067678,1.971302317462982,23.02275747622464,16.460445296629622,38.68626626156748
427,Sri Ganganagar,Loamy,7.52511384958284,2.239753774000804,33.64470597285225,16.53824612883103,36.70480362555678
436,Sri Ganganagar,Clay,7.609329653378649,1.7768397423828275,28.99680350587284,21.83755205270301,45.2021544632242
438,Sri Ganganagar,Nitrogenous,7.182295059885631,1.9793536564963583,32.780110484211455,17.043576055990528,30.767134760977918
446,Sri Ganganagar,Alkaline,8.403804253884632,2.253078827730356,24.719846000166665,18.715274374391093,41.53916186256942
468,Sri Ganganagar,Nitrogenous,6.973082252317827,2.2139071975764515,21.490488849908324,17.19331001778897,38.35255349891007
509,Sri Ganganagar,Saline,6.664415113752968,3.0179367675908964,32.344890390742336,17.540215475652584,46.64028444493484
513,Sri Ganganagar,Alkaline,7.845036838168307,2.543855213078933,33.458092875606944,21.365592171468226,35.00893870744297
517,Sri Ganganagar,Chalky (Calcareous),7.138017634766106,1.677829866489008,16.304298969312637,25.930727370211493,47.70161989909943
520,Sri Ganganagar,Saline,7.405898780613589,1.9482065732971097,28.93062416222681,24.85158100894141,42.09379980063749
525,Sri Ganganagar,Sandy,7.451237308127187,2.1639055367870617,34.76239078476403,15.945530318998753,41.834070216427214
535,Sri Ganganagar,Alkaline,7.510053233434549,2.0898111363159617,36.72573810226207,21.79869487563394,37.50683052105774
555,Sri Ganganagar,Loamy,6.848577618237627,2.2260339191298355,28.22012957807084,20.14595251967784,43.48987015065049
563,Sri Ganganagar,Black lava soil,7.842081604304477,1.592621998588226,30.88075225943846,13.75089830205318,38.673812297648986
569,Sri Ganganagar,Sandy,7.227406877636839,3.463635046236665,25.028224671845635,15.392744882855393,37.17303514857299
573,Sri Ganganagar,Black lava soil,7.200089303041469,1.6714325188609709,26.511405480508778,16.732685521375963,38.0672919205112
600,Sri Ganganagar,Alkaline,6.942959320883456,1.684534583131105,25.289699082128777,17.26002090629431,38.929248446444056
604,Sri Ganganagar,Nitrogenous,7.624725472965036,2.199614096469664,42.46091999300344,18.624392858724768,38.41119552991302
606,Sri Ganganagar,Alkaline,6.683038520470356,1.7875843262371809,32.51249848064645,15.546255682238682,32.865867116093284
609,Sri Ganganagar,Alkaline,7.291780783375987,2.000988422377905,37.66436677818156,13.274927580346656,35.694751639172125
622,Sri Ganganagar,Sandy,8.020477086898895,1.3673707954573926,32.40293379213856,15.635055165553236,38.96507705450816
634,Sri Ganganagar,Saline,7.05800057162678,2.0662485717478227,28.092552925879534,13.397532782974842,41.687410373632
654,Sri Ganganagar,Black lava soil,7.318826221226949,2.3709111471950632,29.54015766898477,14.590428156434337,37.98356104044531
663,Sri Ganganagar,Clay,7.858170040270205,3.162349457161709,27.355266186376504,24.78652411296765,39.4695468232929
664,Sri Ganganagar,Black lava soil,8.116703038176334,1.9961555021393156,28.06062109068765,26.530361019358143,37.54219030490535
682,Sri Ganganagar,Alkaline,7.719743024004256,1.950845076272812,20.98124757953752,21.65735448165448,41.822807386777285
701,Sri Ganganagar,Clay,7.370977242194419,2.6342916178237346,32.457063781777634,13.88389884969035,47.12313866038622
728,Sri Ganganagar,Clay,6.95048038773407,2.8983326008375085,25.73252259969329,16.652815431832547,35.10846025088751
736,Sri Ganganagar,Black lava soil,7.342366833041872,2.1340252137948768,33.57587195064029,19.74440653492311,40.08062393950236
750,Sri Ganganagar,Loamy,7.9471163872504675,1.616838737609287,28.67727050647639,21.828799930464577,30.292160996898893
780,Sri Ganganagar,Sandy,7.973403783255935,2.027501468016687,32.1121748645072,17.669056940268884,38.16398032894126
788,Sri Ganganagar,Clay,7.28550964131379,2.482384947151223,36.49993686131067,24.80152584043334,31.02904066725282
809,Sri Ganganagar,Alkaline,7.222445386035825,2.0060848411414525,29.53562749303473,13.64225739553858,34.23457834130109
820,Sri Ganganagar,Clay,7.389990986170163,1.93629656380502,30.51322764269832,18.5110192188802,43.16612655057547
831,Sri Ganganagar,Nitrogenous,6.464311410330922,2.5838709627638896,26.1247751849188,15.72753268630973,37.98467065981639
839,Sri Ganganagar,Saline,7.648938095511922,2.225077816973324,29.478207752809567,28.87745424620024,32.604019908211164
844,Sri Ganganagar,Sandy,8.053355212143659,0.8626894843969002,28.97935115563642,35.58840564604024,39.93978223520034
853,Sri Ganganagar,Loamy,7.171687964600148,2.436994875503441,30.39219623041835,20.914972248226302,35.828643284660174
868,Sri Ganganagar,Chalky (Calcareous),7.200180002589399,2.205976499530905,34.257955229465985,15.451597803437622,37.74348567828168
872,Sri Ganganagar,Nitrogenous,7.120163491123724,2.3318231735164208,35.297827863116986,17.22359751547335,45.19006263657981
875,Sri Ganganagar,Clay,8.4861722395411,2.232125619061502,33.04567759526757,22.86222653077551,41.985233349412
878,Sri Ganganagar,Chalky (Calcareous),8.14139748441949,2.0390037092394286,23.46111717426169,18.274479515904048,40.220312837033
886,Sri Ganganagar,Saline,7.519856910859818,1.2885615460942228,32.306360421589154,15.378213331848125,37.745029914853454
903,Sri Ganganagar,Loamy,7.734270080773035,2.891452800032572,28.763298064874217,8.10501979623388,43.35024835907762
915,Sri Ganganagar,Nitrogenous,6.800385870387684,0.9235432421212422,29.846067487932924,17.19034943071037,32.85547696744136
917,Sri Ganganagar,Loamy,7.088572049240784,1.480389918004617,34.08990772226931,21.981834782336755,40.84873883985331
920,Sri Ganganagar,Clay,7.435561310655623,1.7454530973442153,32.42679953776595,15.754475745048882,41.52832784321298
926,Sri Ganganagar,Saline,8.036464807253672,1.5733002629804442,34.82663333580563,23.521681049270395,49.26020022406835
931,Sri Ganganagar,Nitrogenous,7.333269653409114,2.7599760029571496,19.32100075632597,23.798936184765385,35.80236220991171
932,Sri Ganganagar,Saline,8.186135658303996,2.0710222394152726,26.63547333995299,23.314205465108163,44.46594173603626
933,Sri Ganganagar,Sandy,7.820947061429319,1.4851518801834698,27.579914381889576,19.979635814392825,39.793701736749696
938,Sri Ganganagar,Sandy,7.704842671873274,1.7015032057895338,37.46501552221602,19.199349302010315,43.09180283129832
941,Sri Ganganagar,Alkaline,7.350151971667842,2.7879379047509847,29.76100374807605,16.366129310830786,35.61191321568548
947,Sri Ganganagar,Chalky (Calcareous),6.664119363335916,3.3551658221674465,32.599355090509555,21.050041540112947,43.0758199213929
952,Sri Ganganagar,Clay,8.15711328785179,2.3566331253982717,24.87017591259611,23.036445075508464,47.33925222498655
959,Sri Ganganagar,Clay,8.09679326773813,1.3297556793167815,28.40086861055622,20.721550097175395,30.831471161852825
984,Sri Ganganagar,Nitrogenous,8.155302956406732,2.58555098583478,23.717173320272824,26.446015257034368,38.40920749191036
991,Sri Ganganagar,Sandy,8.549703760251255,1.9793759355103984,40.79560577301646,20.45657364305675,38.097720479168245
