,District,Soil_Type,pH_Level,Organic_Matter(%),Nitrogen_Content(kg/ha),Phosphorus_Content(kg/ha),Potassium_Content(kg/ha)
9,Udaipur,Black lava soil,6.475029360711261,2.579537032477949,28.31872630659464,22.12744966620115,45.98623461822614
10,Udaipur,Loamy,6.814163151384767,1.6452794987862267,28.557256520621475,16.081232394377857,48.67468287918404
11,Udaipur,Loamy,7.071613953086604,1.7222266102565666,31.021945158014884,13.989252369619557,38.02159644121868
15,Udaipur,Loamy,8.409030961278912,2.387577747017392,32.76520042926179,21.17012227176574,38.75735690962775
25,Udaipur,Sandy,7.869826575862335,1.0453219562463536,36.59151162426335,20.363402621646703,37.9425342771891
26,Udaipur,Sandy,7.455382922889275,1.9812146775102597,21.34399348277537,27.47469113726618,40.206628161353095
27,Udaipur,Nitrogenous,7.721501065223688,2.4757748852870214,24.894187712198494,22.367359495176142,38.661794545506034
30,Udaipur,Black lava soil,7.920991847726063,1.815396399776277,15.465058903391792,18.12588971689097,34.80728089578014
45,Udaipur,Black lava soil,7.006063329549625,1.5765745169373178,36.248094526483335,23.896745019526666,39.80490240311228
52,Udaipur,Black lava soil,7.380944781843973,2.023001373626637,25.47692812503117,25.863784226337224,43.32708411845889
58,Udaipur,Chalky (Calcareous),8.209265672574018,0.7560956717324603,36.38482693044094,21.69011740550854,33.964891760713925
65,Udaipur,Loamy,7.737583873247691,1.998798079540573,27.053641741053468,14.53918183640955,44.173756631624414
69,Udaipur,Alkaline,8.314234277386161,1.8578076751967452,37.95291036308925,23.39465645029639,39.31502255278771
86,Udaipur,Black lava soil,7.733272655725063,2.673112878101374,32.611253180088895,19.51042376778548,51.36217360223441
93,Udaipur,Sandy,6.831637280562035,1.7940883155181713,30.659639833859785,17.72726140628278,38.90673361282482
100,Udaipur,Saline,8.090320456226072,1.6863432770243485,30.22611354499991,20.255989509405428,37.49107903594234
104,Udaipur,Nitrogenous,7.751372403745408,0.7533645898349612,25.17167598238396,28.145831824504725,37.09108983303973
116,Udaipur,Sandy,8.56238570150848,2.665669530994202,39.60183751072131,13.88552490222218,40.35626874955446
134,Udaipur,Saline,8.014728740799178,2.436157690014225,24.28490343963136,24.10079093377742,39.67655697483741
141,Udaipur,Alkaline,7.6538063340945985,1.7377164931164746,36.76101339433572,22.120334307592252,40.1972352412037
147,Udaipur,Loamy,7.438971433939361,1.771075806908755,29.203188839270467,18.147086187996084,33.259764440299165
167,Udaipur,Black lava soil,7.30122111725414,2.618826878755999,31.89883818020448,15.159771207448774,38.44846147307548
175,Udaipur,Clay,8.095949667206787,2.4750079143348227,31.215023610272,12.336497200550346,39.01859674306032
188,Udaipur,Black lava soil,7.689576559363062,2.615111087825394,27.01512856639463,8.04847816265281,37.93889627487765
205,Udaipur,Saline,7.3408812361286895,1.609421810934443,28.70099929616244,27.992690560481705,44.0106422930906
223,Udaipur,Alkaline,7.313662208024013,1.8786506260873592,20.54994914408529,17.726026413111537,34.800967344865576
239,Udaipur,Clay,7.252060913994925,2.5486500937718546,22.17175984197202,4.961838301531214,42.85589703109604
240,Udaipur,Saline,7.621828611851357,1.4548957966002851,25.07230199639535,15.151281401826628,40.5526765873697
243,Udaipur,Sandy,7.779168211605853,2.9283237182809776,27.591170144532622,21.622293021762584,30.98068603718817
259,Udaipur,Chalky (Calcareous),6.736416071705176,1.4724553159116525,30.63133868117034,15.076726075763688,36.03738276442394
274,Udaipur,Sandy,6.628889153682362,1.7269791005916395,24.539393998257164,20.67669173946145,44.97223687754454
276,Udaipur,Black lava soil,7.578563959495471,2.0880949112513463,26.665756415242186,20.98958333671038,36.96263856189847
300,Udaipur,Black lava soil,7.020610771906613,1.3237456552796387,22.0820580510621,22.064994560688987,38.92966151136069
305,Udaipur,Clay,8.07214653427997,1.306065724772099,33.819301758167114,19.73446599151545,37.24509098230875
306,Udaipur,Black lava soil,7.584007670266264,2.4726057673057418,32.50415795502106,15.6076309932897,43.7122945679631
316,Udaipur,Loamy,7.604735041823886,1.507732974759016,29.970226453936352,23.92001389655374,39.05869332456847
320,Udaipur,Loamy,7.3920197398248835,2.4687387462534627,38.17533197263759,26.558467246363307,34.53929203285634
321,Udaipur,Loamy,7.37316196122881,1.8274176472751016,32.44627267538164,23.431767775072665,35.80553662987132
336,Udaipur,Nitrogenous,7.38434952853515,1.711790211832578,37.35517345408552,16.502523899161783,34.81466963215002
367,Udaipur,Saline,7.546489623264705,1.765751943319842,26.206173710323124,26.75426165349503,36.7316042968129
371,Udaipur,Sandy,8.671827026406312,2.435373322294202,34.7440654823581,20.65345012232191,39.292371233165255
379,Udaipur,Clay,7.495077595674808,1.15574740596575,24.39976288765064,23.354556241384376,43.01895260138947
383,Udaipur,Alkaline,7.60569828373533,2.531328645393763,28.121831671172323,26.755570449933572,46.46372644759104
411,Udaipur,Nitrogenous,6.939234926287487,2.3546762572276587,30.09729127759441,19.30743877696388,37.88054978838824
422,Udaipur,Clay,7.259676029255879,3.2696908113914307,29.80052808124144,12.978802168692056,39.329098946615375
437,Udaipur,Saline,6.522475614840858,1.815530280484269,31.06904396970532,15.41011947694632,48.6558481588365
439,Udaipur,Clay,7.285672736541733,2.5147202779635203,28.315524366074307,15.767828492705108,44.62836104751361
442,Udaipur,Alkaline,7.553584957629798,1.4607436293177014,29.123527350479936,21.99658800859565,41.8019669750904
450,Udaipur,Nitrogenous,7.01710868356802,1.730713163351688,27.6662059402428,12.585077840087909,35.911588016974335
462,Udaipur,Sandy,7.363794991698156,2.6168621391680964,25.974524094847457,20.942378805090517,36.716553271862935
464,Udaipur,Nitrogenous,7.611640456627685,1.4008039375239774,35.420991220217715,21.05151520110998,40.99196758588743
467,Udaipur,Alkaline,7.251019076591079,1.743732944676725,25.992362049477293,18.264067524438687,43.854011099939854
475,Udaipur,Sandy,7.869837734058917,3.285997658747484,18.75283772899618,23.04367794562209,37.21434713713885
479,Udaipur,Alkaline,7.901577371307011,2.119813759119499,33.66527140733,10.53618911204974,41.55745429398895
487,Udaipur,Nitrogenous,7.193508364364655,1.9714794165735288,35.91993721598445,21.709126069774836,39.69981229155718
505,Udaipur,Black lava soil,7.1941831316527205,2.559316167077106,30.06521687188476,19.10374487321544,39.449972506494746
511,Udaipur,Loamy,6.774536054444388,2.037788186335019,35.24432070937681,19.853917970730077,43.87557560794543
524,Udaipur,Saline,7.339807470281602,1.1103005347463897,25.30016085424967,22.383255204002783,48.57953815566347
526,Udaipur,Clay,7.129754946833921,2.432412219245505,30.757015239758665,21.4922590699072,36.08700701290705
528,Udaipur,Black lava soil,7.893203105997908,1.7202268573552657,15.8348485492863,26.795947470820124,43.80253059792072
529,Udaipur,Alkaline,6.628526234756667,1.696215604110222,37.84091214763663,27.23898209228933,44.69320011339472
542,Udaipur,Clay,7.543508240196194,1.4819282140124015,34.28368710735229,21.990241082546312,41.972899927421096
543,Udaipur,Black lava soil,7.287122197674205,2.225247861889017,28.69120854889453,22.77970725822921,30.475277729946804
556,Udaipur,Saline,6.88372984438986,1.6577541346936016,32.28662140543383,30.491107372733737,39.30958832669259
567,Udaipur,Saline,7.289986136352919,1.0476626532672682,37.22206097527544,13.861600177719714,37.043609953151474
584,Udaipur,Saline,8.12614183097832,2.0806497713313474,33.22061883925054,20.4099440691236,31.23811452429501
585,Udaipur,Loamy,7.06963541830233,2.336194668805691,30.83327908679922,25.90494952652836,42.01637281518586
617,Udaipur,Loamy,7.333481190473119,1.8448045043112171,22.260992218454845,21.32127381803669,39.79833044892978
632,Udaipur,Loamy,7.571713283428746,2.435762193043967,23.74400431683161,12.337408615851682,47.8971894584743
637,Udaipur,Loamy,7.125600101989973,2.208400787241557,35.83560394001648,19.88474721957267,46.39287583969687
642,Udaipur,Alkaline,7.991926171803073,2.062943265288329,27.617242883903792,13.477052780997637,35.5320249314044
659,Udaipur,Nitrogenous,7.839364034639709,1.5354318297451208,24.32989907032521,18.26614211616644,37.07103638275655
670,Udaipur,Alkaline,8.889981812111778,1.481004322505385,23.231226626451207,23.67238372500609,29.61440073113063
677,Udaipur,Alkaline,8.133980243551544,1.9878007163819216,22.88885175246897,24.212569482275025,43.77479383070983
683,Udaipur,Chalky (Calcareous),7.159913261826024,1.3578064819637428,37.37939575251983,22.45722755447201,38.85459484539145
704,Udaipur,Chalky (Calcareous),7.325921301591343,1.962536721940776,28.1569031710715,24.035232083033435,45.59843889276691
716,Udaipur,Nitrogenous,7.35604696156604,2.122519332157703,28.65024051587418,12.282745284071265,47.97088978102006
742,Udaipur,Saline,8.036270899786379,2.714380081018385,37.17154834676038,21.42377296692784,30.18355426080513
746,Udaipur,Saline,8.340746228709008,1.5580655524296354,30.73649000194542,16.59752976117976,43.07472319515689
753,Udaipur,Black lava soil,7.70680812878584,3.067793365038683,31.410171096046717,28.25286481616424,36.85393925235279
757,Udaipur,Alkaline,7.289400591693544,2.488215688599034,24.339254296419966,14.50541872635903,43.43713377563252
758,Udaipur,Saline,7.455727892708493,1.7730542919234358,34.4502886623773,16.96369292956958,38.99899372849815
